pdate,shunt_name,request_id,subject_id,user_id,exp_time,subject_name
2022-11-07,B,0b3fcc87-f403-4c35-95d4-5937c3d3e470,20220124150817_d66aa5b7e58c2b8233024123212401b3,20221102065921_53754030ccc3cb10bb588d47d571cf03,2022-11-07 17:41:55,川渝风味
2022-11-07,B,00efb5e6-8f34-4e38-a7cd-1cdee73c8469,20220124150817_d66aa5b7e58c2b8233024123212401b3,20221107175313_d0be58a20a124c1b03363b148d92fc10,2022-11-07 19:56:37,川渝风味
2022-11-07,B,3833cb20-4987-43d5-9019-4a3a14fc2b47,20220124150817_d66aa5b7e58c2b8233024123212401b3,20221102065921_53754030ccc3cb10bb588d47d571cf03,2022-11-07 17:37:38,川渝风味
2022-11-07,B,f1944722-5c20-43fe-9008-f85c438bce4e,20220124150817_d66aa5b7e58c2b8233024123212401b3,20221106095427_c9acc728aca8050d5bbf9007baa34e5a,2022-11-07 19:02:07,川渝风味
2022-11-07,B,b78999e9-78e4-4b4a-b162-c1d56df1e1d4,20220124150817_d66aa5b7e58c2b8233024123212401b3,20221102065921_53754030ccc3cb10bb588d47d571cf03,2022-11-07 17:48:38,川渝风味
2022-11-07,B,a9de188a-d505-4534-b876-c93341a26d62,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220902143339_3808a5f18978e7ef6963da6c6d065035,2022-11-07 15:19:50,川渝风味
2022-11-07,B,e384ce84-8763-4029-b992-35c163407eac,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220903183551_4c121e349d5863c4567294ae4981c05e,2022-11-07 17:26:38,川渝风味
2022-11-07,B,fbee58d5-3de1-4c87-b620-7a4d2d884eb6,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220905234319_b427b0af7082c09fcdf05c3efa4c8556,2022-11-07 22:22:14,川渝风味
2022-11-07,B,981f59d4-7a41-4130-af79-90f9266263b0,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220906092522_06819725b5bfb1e00272b67c249aac00,2022-11-07 08:00:20,川渝风味
2022-11-07,B,5af97f91-bdcf-414d-a119-37d8be9fb8b1,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220906103213_429cd1a7e234a7a717a7e6c1eb9912bd,2022-11-07 15:05:15,川渝风味
2022-11-07,B,4f9bd138-1a5c-4be4-8a35-d4583be10c23,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220906103213_429cd1a7e234a7a717a7e6c1eb9912bd,2022-11-07 12:52:02,川渝风味
2022-11-07,B,c09ff032-1e53-463e-9838-6e09245b2eb7,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220906103213_429cd1a7e234a7a717a7e6c1eb9912bd,2022-11-07 23:00:51,川渝风味
2022-11-07,B,428a458c-89a0-4688-bee4-bf0d0ccc913c,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220906103213_429cd1a7e234a7a717a7e6c1eb9912bd,2022-11-07 14:51:45,川渝风味
2022-11-07,B,7da1264f-0c55-4fb6-b8da-38a7ee61edaf,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220906125047_5833ddee608bce7348e0b0241e9519b4,2022-11-07 18:54:28,川渝风味
2022-11-07,B,902668b1-9013-42da-8ed1-da9e45eb55e3,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220907003150_72fe470fb37e43a456c9b7e66eaa8a58,2022-11-07 21:34:52,川渝风味
2022-11-07,B,f8bda72f-0179-4ff0-b512-e9875987831b,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220908134617_5784c69cd4a336ff8cba68c2e2c9b6c7,2022-11-07 16:42:00,川渝风味
2022-11-07,B,cf0fd4d9-f7e0-46d6-97da-3e2acd3eaef5,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220909170336_08d5a5ca56b48ab552dc5b45b1efab88,2022-11-07 15:29:32,川渝风味
2022-11-07,B,a9c7e5eb-4523-4e68-ae86-e285623ce698,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220909171641_5fc3eaee3e11b7f1fac6b456f9563607,2022-11-07 10:24:32,川渝风味
2022-11-07,B,d644727c-13b8-4853-925c-01457f160d2f,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220909171641_5fc3eaee3e11b7f1fac6b456f9563607,2022-11-07 12:40:06,川渝风味
2022-11-07,B,2dfd805d-5b77-4f42-8eb6-ff5ed05083f8,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220909171641_5fc3eaee3e11b7f1fac6b456f9563607,2022-11-07 12:06:50,川渝风味
2022-11-07,B,e1f4ca11-d020-407a-8b9f-91720cc6d305,20220124150817_d66aa5b7e58c2b8233024123212401b3,20220909171641_5fc3eaee3e11b7f1fac6b456f9563607,2022-11-07 19:53:28,川渝风味
2022-11-07,B,47adf12d-2866-4bc4-85d1-47cff3d8897d,20220124150817_d66aa5b7e58c2b8233024123212401b3,20221101222127_cc3b696f11c9ff85a187a20a734eb95f,2022-11-07 22:06:30,川渝风味
2022-11-07,B,d1603606-b8cd-4fbc-bd38-7ad87da0b7df,20220124150817_d66aa5b7e58c2b8233024123212401b3,20221106095427_c9acc728aca8050d5bbf9007baa34e5a,2022-11-07 16:36:24,川渝风味
