request_id,subject_id,pdate,user_id,click_time,menu_id,menu_name,shunt_name,subject_name
b1b317ad-e443-46d1-a2cf-ba86f644e391,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221107125730_bc620ab71bf7d450594e74464e4eab91,2022-11-07 13:50:30,20211130112717_ba5e934383b3cfe3201f9a1c1dc8531f,回锅肉,A,川渝风味
ed772d34-4469-4a71-be99-e0c8baa84d25,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221107150629_2d67ac98be3b922a3eeaaca79cd6cf12,2022-11-07 15:11:45,20220324135712_e682715c7e407613d077bba5bbd4dd15,干锅花菜,B,川渝风味
7a0e1282-25eb-47c0-9502-54271d5a2146,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221105074718_19772a6e16472679aa906347a92c7464,2022-11-07 19:06:22,20211124183320_0d3b5c32439446848c1afb3fb8c6cd1e,干锅包菜,B,川渝风味
e9e075d7-56f5-4945-9494-00fcaf0e1673,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221104202726_cdf5fa76f87e2f750799e028b609d5aa,2022-11-07 15:36:53,20211130112717_ba5e934383b3cfe3201f9a1c1dc8531f,回锅肉,B,川渝风味
3847eec1-b4b2-4db5-8ad7-b77818b50afc,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20220531142020_9e56a9cf4ffc9019bd869b433c1fbb72,2022-11-07 08:50:37,20211203100748_9bf9250b6e803a84195c66bfeadfd1f8,鱼香肉丝,B,川渝风味
3ac1bcd9-e72a-4646-ab06-80f57ef44344,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221107191839_5cdb2330ed2a500bee7542e268ba7122,2022-11-07 19:28:41,20211130112717_ba5e934383b3cfe3201f9a1c1dc8531f,回锅肉,B,川渝风味
e6623c09-62f0-4924-a2cd-cca1663bbd25,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221105233816_cecf8916237b81f7fef81f5a83636725,2022-11-07 21:55:18,20211124183320_0d3b5c32439446848c1afb3fb8c6cd1e,干锅包菜,B,川渝风味
83bf0dff-1ec0-4f8a-bd43-37c743e58237,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221107133822_19da4caae03a1b13428bd2524b0e2df1,2022-11-07 20:09:29,20220324135712_e682715c7e407613d077bba5bbd4dd15,干锅花菜,A,川渝风味
879c2a88-155a-43d6-93aa-9c4cffb9d40a,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221020091657_8f8632172baa7ba62eb0597c494cff2c,2022-11-07 16:01:45,20211203100748_9bf9250b6e803a84195c66bfeadfd1f8,鱼香肉丝,B,川渝风味
e6623c09-62f0-4924-a2cd-cca1663bbd25,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221105233816_cecf8916237b81f7fef81f5a83636725,2022-11-07 21:55:15,20220324135712_e682715c7e407613d077bba5bbd4dd15,干锅花菜,B,川渝风味
