pdate,shunt_name,user_id,menu_id
2022-10-20,A,20190401172359_e98260af21e9ec61cccc62e53701f0fa,4
2022-10-20,A,20201020125510_1237d49dab68cfc994401999d8f045f4,2
2022-10-20,A,20220127092415_b24fd8d59ae467e802d088819e022e13,1
2022-10-20,A,20220306105651_6752ae65aa254178005d5ab2f3cd89de,1
2022-10-20,A,20220424145526_7e00bbc7b383c4ee235d0aa1da80c7f6,1
2022-10-20,A,20220424164030_2aeff49f478d9d760f7b35a88061a73e,3
2022-10-20,A,20220428091004_4c9b94423b80ce34ca7c216d6e4e50b0,4
2022-10-20,A,20220516005105_b996e4add2eb83b9aa15fa25e8fd12cb,1
2022-10-20,A,20220521183921_783cc2ccda3513a77371050a7439f478,1
2022-10-20,A,20220527215251_b8baaef0001d0b4e86d93e0dcfab255f,1
2022-10-20,A,20220531235450_b63ea42b90f9c211baee58714cc28e24,1
2022-10-20,A,20220603140414_fb605559da374ddd52ce427f72e35f05,1
2022-10-20,A,20220610110518_aa1dc95029fa3c134d337da47aaee1f3,2
2022-10-20,A,20220612193957_c6df034516bbcca004595760ad102177,1
2022-10-20,A,20220618113010_892c7e129d304dd796236d13e8763450,2
2022-10-20,A,20220630233458_b31ce0c10acfed7757ba651ac47ba1f6,1
2022-10-20,A,20220705205932_da828ea8548490604bd7b6726d0fff82,1
2022-10-20,A,20220721165752_da903f99991e62c3a248f20a7be213c8,1
2022-10-20,A,20220810223948_d9f1cf535f20ea60cf6c56919737d23c,2
2022-10-20,A,20220814111009_2dcb676f0ddc802b80a121a2e025d188,1
2022-10-20,A,20220820161257_5ab2a9f30711dce04b57b7062c328c88,1
2022-10-20,A,20220824105146_febffe9b90dee85457d2b787d42f0234,1
2022-10-20,A,20220908111748_eed2fb6cb57c5b8a15566100de82a447,1
2022-10-20,A,20220908233837_7299341524585ad0d85d3eaeba806578,1
2022-10-20,A,20220912190806_2442cbbce60799c077de99fe460567d8,1
2022-10-20,A,20220912191717_79b3211b7a7e11c30721dd9b347acb10,1
2022-10-20,A,20220918220033_723da22ba00efeccd1cf3c2e3236b97a,1
2022-10-20,A,20220919123106_0afc47ea2df96d2f399af0870691c926,1
2022-10-20,A,20220929104852_71f95abf9966d196428141108bf02a3a,1
2022-10-20,A,20220930220243_cd43e02534e9733c0fc51a615b7ee97e,3
2022-10-20,A,20221007083018_62870a1736a721c0f6202ba9cfa94a71,1
2022-10-20,A,20221009135703_54bc785d1f5461ceab271803323a0f03,1
2022-10-20,A,20221011122425_760f452ef53de76fced2298a420f5f62,2
2022-10-20,A,20221014080012_98e5a34be2b3076ab751f02b64911dbc,4
2022-10-20,A,20221016103114_f0899098b1fd7da5c879077b08bebe81,1
2022-10-20,A,20221017212112_402a434c92e19a67247273c80afa6b6b,1
2022-10-20,A,20221017233955_c0fdabd11944fe75a0b6b6d407781134,2
2022-10-20,A,20221018090020_b9ab6a5aedad0fd203e6fc20430c7aab,1
2022-10-20,A,20221019103658_001571fc58dd7e0c0dd161ebc42f0f01,3
2022-10-20,A,20221019162824_4899ff10862f7cb216ed90a2aa3d6441,2
2022-10-20,A,20221019180127_3211dbd83f3cace8fe0a538de1283d86,1
2022-10-20,A,20221019212016_490f6cc26f9eb50c240b74c8bd66c059,2
2022-10-20,A,20221020115932_bba9249371e9156a84619c9e41984851,2
2022-10-20,A,20221020172356_2a5ff501ad423a38b8b909c5136aa41d,11
2022-10-20,B,20201027202744_2949bbf5448768692b27fbb3111c09eb,2
2022-10-20,B,20210425121053_68b8d2ab004ae8e8ce74927fba870e31,2
2022-10-20,B,20210626090245_07d5b06e05913e14e0fecc1bead9f235,1
2022-10-20,B,20210830192044_a31851991e066a3341a23d10eb335120,2
2022-10-20,B,20211007173759_7d8cf3483321ae1a1563d4bb40d895e5,9
2022-10-20,B,20211122215427_afbd104857cad2cb2076ceaba9306884,1
2022-10-20,B,20220210105049_9d9af3e396f394f0914e02a1bf73a804,2
2022-10-20,B,20220306205443_27c5134adb6ce5442b50d725776e5efb,3
2022-10-20,B,20220401184516_efd1d53b734c792d0eabd992ad1ec7d2,1
2022-10-20,B,20220422165600_373d0ca3a6f177510b133b4d126f327f,1
2022-10-20,B,20220505111707_ee7073bf1e99fd216622717d6a873930,1
2022-10-20,B,20220520225129_eab88764429ea64ab91bfa07971089e4,1
2022-10-20,B,20220605215259_ff0aba4212f0339df410f5507e2150fd,1
2022-10-20,B,20220606234255_b58eb79558919fe8f5e30fa81cc6bf97,1
2022-10-20,B,20220622203131_3e6a9364263c1fa434d18c241fc65301,1
2022-10-20,B,20220629183650_f2453662b06eb636fcf1525eb643af4e,4
2022-10-20,B,20220710130445_253e00941b3d53d66d185c7b25c17237,1
2022-10-20,B,20220720220644_bad355e55be7bfd9476c03fbfccd187c,1
2022-10-20,B,20220808212238_97b9c735b7ddd15a744417bb961a1f0a,1
