pdate,menu_name,A,B
2022-10-20,油焖香菇（滋补餐）,1.0,1.0
2022-10-20,酸辣白菜,11.0,
2022-10-20,肉末茄子,8.0,
2022-10-20,可乐鸡翅,3.0,
2022-10-20,排骨炖土豆,2.0,
2022-10-20,红烧鸡翅,2.0,
2022-10-20,黄金带鱼,2.0,
2022-10-20,油焖春笋,1.0,
2022-10-20,红烧肉,1.0,
2022-10-20,红烧肉（家常版）,1.0,
2022-10-20,蒜香蒸茄（减脂餐）,1.0,
2022-10-20,蚝油生菜,1.0,
2022-10-20,西红柿蛋汤,1.0,
