日期,分组,UV,2d-stay,3d-stay,4d-stay,5d-stay,6d-stay,7d-stay,8d-stay,9d-stay,10d-stay,11d-stay,12d-stay
2022-10-27,实验组,20,15.0%,0.0%,5.0%,0.0%,0.0%,5.0%,0.0%,0.0%,0.0%,10.0%,10.0%
2022-10-27,对照组,34,11.76%,8.82%,11.76%,8.82%,14.71%,8.82%,8.82%,0.0%,2.94%,5.88%,5.88%
2022-10-28,实验组,18,5.56%,0.0%,11.11%,11.11%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-10-28,对照组,21,9.52%,9.52%,0.0%,4.76%,0.0%,4.76%,0.0%,0.0%,4.76%,9.52%,0.0%
2022-10-29,实验组,29,13.79%,10.34%,3.45%,6.9%,0.0%,3.45%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-10-29,对照组,22,13.64%,0.0%,4.55%,13.64%,0.0%,4.55%,13.64%,0.0%,0.0%,0.0%,0.0%
2022-10-30,实验组,18,11.11%,16.67%,22.22%,5.56%,16.67%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-10-30,对照组,25,0.0%,4.0%,0.0%,4.0%,4.0%,8.0%,8.0%,0.0%,0.0%,0.0%,0.0%
2022-10-31,实验组,19,15.79%,0.0%,5.26%,5.26%,0.0%,10.53%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-10-31,对照组,24,8.33%,4.17%,4.17%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-01,实验组,31,6.45%,6.45%,6.45%,6.45%,0.0%,3.23%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-01,对照组,17,17.65%,17.65%,23.53%,5.88%,11.76%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-02,实验组,35,28.57%,20.0%,5.71%,11.43%,8.57%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-02,对照组,26,42.31%,11.54%,11.54%,19.23%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-03,实验组,46,26.09%,8.7%,6.52%,13.04%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-03,对照组,37,10.81%,10.81%,21.62%,16.22%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-04,实验组,47,25.53%,10.64%,6.38%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-04,对照组,33,24.24%,12.12%,9.09%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-05,实验组,53,24.53%,11.32%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-05,对照组,37,21.62%,2.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-06,实验组,32,18.75%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-06,对照组,27,22.22%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
