日期,分组,UV,2d-stay,3d-stay,4d-stay,5d-stay,6d-stay,7d-stay,8d-stay,9d-stay,10d-stay,11d-stay,12d-stay
2022-10-27,实验组,32,15.62%,3.12%,12.5%,0.0%,3.12%,3.12%,6.25%,9.38%,0.0%,6.25%,9.38%
2022-10-27,对照组,58,17.24%,13.79%,8.62%,6.9%,8.62%,6.9%,5.17%,1.72%,3.45%,8.62%,5.17%
2022-10-28,实验组,34,5.88%,2.94%,5.88%,11.76%,2.94%,2.94%,0.0%,5.88%,0.0%,2.94%,0.0%
2022-10-28,对照组,45,15.56%,13.33%,13.33%,8.89%,2.22%,4.44%,8.89%,4.44%,4.44%,8.89%,0.0%
2022-10-29,实验组,42,16.67%,11.9%,9.52%,9.52%,2.38%,4.76%,4.76%,2.38%,4.76%,0.0%,0.0%
2022-10-29,对照组,44,15.91%,0.0%,6.82%,13.64%,0.0%,2.27%,9.09%,0.0%,6.82%,0.0%,0.0%
2022-10-30,实验组,35,14.29%,17.14%,17.14%,8.57%,17.14%,2.86%,5.71%,8.57%,0.0%,0.0%,0.0%
2022-10-30,对照组,47,6.38%,8.51%,2.13%,4.26%,6.38%,10.64%,6.38%,4.26%,0.0%,0.0%,0.0%
2022-10-31,实验组,32,25.0%,12.5%,6.25%,6.25%,9.38%,9.38%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-10-31,对照组,33,12.12%,3.03%,6.06%,0.0%,3.03%,3.03%,3.03%,0.0%,0.0%,0.0%,0.0%
2022-11-01,实验组,51,17.65%,9.8%,11.76%,9.8%,1.96%,5.88%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-01,对照组,39,17.95%,12.82%,17.95%,10.26%,5.13%,2.56%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-02,实验组,53,22.64%,20.75%,7.55%,9.43%,9.43%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-02,对照组,47,27.66%,10.64%,10.64%,14.89%,2.13%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-03,实验组,68,27.94%,8.82%,8.82%,14.71%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-03,对照组,60,11.67%,6.67%,23.33%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-04,实验组,82,18.29%,12.2%,10.98%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-04,对照组,57,19.3%,14.04%,5.26%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-05,实验组,83,19.28%,12.05%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-05,对照组,74,24.32%,9.46%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-06,实验组,67,20.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2022-11-06,对照组,69,17.39%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
